Name,Generation,Parent,Pattern,Tail,Horn,Plumage,Material,Face,Ear,Color
Jinx007-Fuzz,2,Jinx007-Jasmine,Patina,Radish,Trident,Spades,Static,Heart,Monkey,
Jinx007-Chimera,3,Jinx007-Banshee,Cheetah,Cat,Flerken,Horse,Fuzzy,Goggles,Cat,
Jinx007-Clownking,3,Jinx007-Banshee,Tropical Fish,Mouse,None,Hermes,Fuzzy,Monkey,Monkey,
Jinx007-Cthulhu,3,Jinx007-Maximilian,Saddle,Radish,Trident,Bat Wings,Glimmer,Monkey,Monkey,
Jinx007-Neptune,3,Jinx007-Maximilian,Deer,Radish,Trident,Feather Shawl,Fuzzy,Monkey,Monkey,
Jinx007-Lilith,3,Jinx007-Fuzz,Patina,Horse,Trident,Horse,Static,Star,Llama,
Jinx007-Turkey,3,Jinx007-Fuzz,Breezy,Peacock,Trident,Spades,Static,Heart,Monkey,
Jinx007-Demogorgon,4,Jinx007-Cthulhu,Stripes,Tentacles,Trident,Scales,Glimmer,Monkey,Beaks,
Jinx007-Domo,4,Jinx007-Cthulhu,Puddle,Flower Mirror,Spire,Ruff,Glimmer,Monkey,Monkey,
Jinx007-Dyno,4,Jinx007-Cthulhu,Breezy,Radish,Trident,Dragon,Glimmer,Monkey,Tubes,
Jinx007-Dottie,4,Jinx007-Lilith,Tropical Fish,Horse,Narwhal,Horse,Static,Star,Fairy,Pink
Jinx007-Maverick,4,Jinx007-Lilith,Patina,Horse,Trident,Horse,Rusty,Star,Square,
Jinx007-Opal,4,Jinx007-Neptune,Deer,Radish,Demon,Flowy Feathers,LED,Blob,Dragonfly?,
Jinx007-Triumvirate,4,Jinx007-Turkey,Breezy,Peacock,None,Spades,Static,Octopus,Bear,
Jinx007-Umbra,4,Jinx007-Turkey,Breezy,Shell,Bull,Koosh Ball,Static,Dots,???,
Jinx007-Buggy Bunny,5,Jinx007-Dottie,Tropical Fish,Rabbit,Cow,None,Static,Star,Rabbit,
Jinx007-Euphoria,5,Jinx007-Dottie,Tropical Fish,Horse,Narwhal,Horse,Glitter,Star,Rabbit,Pink
Jinx007-Ethereal,5,Jinx007-Dyno,Breezy,Whale,Trident,Dragon,Glimmer,Star,Seraph,
Jinx007-Pinkachu,5,Jinx007-Opal,Deer,Radish,Demon,Flowy Feathers,LED,Blob,Squircle,
Jinx007-Punky,5,Jinx007-Opal,Deer,Rosetail,Ram,Flowy Feathers,LED,Heart,Dragonfly?,
Jinx007-Twilight,5,Jinx007-Triumvirate,Sunset,Fleur,None,Tentacles,Static,Star,Rabbit,
Jinx007-Shimmerrosie,5,Jinx007-Triumvirate,Pulse,Peacock,None,Spades,Static,Octopus,Bear,
Jinx007-Spyro,5,Jinx007-Triumvirate,Scales,Flame,Bull,Dragon,Static,Octopus,Bear,
Jinx007-Voltron,5,Jinx007-Umbra,Breezy,Shell,Buns,Mohawk,Static,Dots,???,
Jinx007-Fenrir,6,Jinx007-Shimmerrosie,Breezy,Mouse,None,Thorns,Static,Octopus,Elven,
Jinx007-Fluffish,6,Jinx007-Buggy Bunny,Tropical Fish,Rabbit,Narwhal,Spades,Furry,Octopus,Rabbit,Cotton Candy
Jinx007-Hippy,6,Jinx007-Twilight,Gradient,Radiance,None,Quills,Gummy,Star,Rabbit,
Jinx007-Honeybunny,6,Jinx007-Buggy Bunny,Bee,Rabbit,Antennae,Bee Wings,Fuzzy,Star,Rabbit,
Jinx007-Rocket Raccoon,6,Jinx007-Buggy Bunny,Tiger,Rabbit,Crown,None,Static,Bandit,Rabbit,
Jinx007-Aries II,6,Jinx007-Buggy Bunny,Tropical Fish,Asparagus,Ram,None,Static,Star,Rabbit,
Jinx007-Burnout,6,Jinx007-Buggy Bunny,Tropical Fish,Fleur,Spire,None,Waxy,Heart,None,Yellow
Jinx007-Dusk,6,Jinx007-Twilight,Sunset,Snowflake,Demon,Tentacles,Slimy,Dots,Rabbit,
Jinx007-Dark Blizzard,6,Jinx007-Twilight,Snowfall,Snowflake,Demon,Tentacles,Slimy,Dots,Rabbit,
Jinx007-Usurper,6,Jinx007-Twilight,Sunset,Fleur,Crown,Tutu,Ore,Countess,Rabbit,Sunset
Jinx007-Talon,6,Jinx007-Shimmerrosie,Pulse,Rabbit,None,Ruff,LED,Owl,Rabbit,
Jinx007-Wasted,6,Jinx007-Voltron,Breezy,Shell,Buns,Mohawk,Static,Dots,None,
Jinx007-Watermelon,6,Jinx007-Shimmerrosie,Watermelon,Peacock,None,Spades,Pulp,Octopus,Slice,Peacock
Jinx007-Weaver,6,Jinx007-Voltron,Breezy,Wavelength,Floater,Choker,Static,Dots,Elephant,
Jinx007-Tulum,6,Jinx007-Spyro,Scales,Horse,None,Quetzal,Static,Octopus,Whirlybird,
Jinx007-Chip,7,Jinx007-Watermelon,Circuit,Peacock,None,Spades,Iridescent,Diamond,Square,
Jinx007-Xbreed,7,Jinx007-Watermelon,Watermelon,Peacock,None,Spades,Pulp,Goggles,Slice,Peacock
Jinx007-Xover,7,Jinx007-Watermelon,Watermelon,Peacock,None,Spades,Pulp,Octopus,Flappy,
Jinx007-Clowndelabra,7,Jinx007-Burnout,Tropical Fish,Fleur,Spire,None,Waxy,Heart,None,
Jinx007-Epsilon,7,Jinx007-Dark Blizzard,Snowfall,Snowflake,Slingshot,Eyebrows,Slimy,Dots,Fruit Bat,
Jinx007-Faun,7,Jinx007-Fluffish,Tropical Fish,None,Devil,Spades,Furry,Heart,Rabbit,
Jinx007-Ghostface,7,Jinx007-Aries II,Baguette,Asparagus,Triceratops,None,Static,Fangs,Triceratops,
Jinx007-Golden Idol,7,Jinx007-Honeybunny,Solid,Rabbit,Goat,Bee Wings,Chrome,Star,Rabbit,
Jinx007-Instar,7,Jinx007-Honeybunny,Bee,Chrysalis,Antennae,Bee Wings,Fuzzy,Star,Mouse,
Jinx007-Ingot,7,Jinx007-Hippy,Gradient,Crosscut Saw,Bull,Hermes,Gummy,Round,Rabbit,
Jinx007-Jujuba,7,Jinx007-Hippy,Gradient,Winged,None,Choker,Gummy,Star,Manifold,
Jinx007-Gumdrop,7,Jinx007-Fluffish,Tropical Fish,Dandelion,Narwhal,Dandelion,Furry,Octopus,Cat,Cotton Candy
Jinx007-Gallagher,7,Jinx007-Watermelon,Watermelon,Asparagus,Ram,Tutu,Pulp,Diamond,Slice,
Jinx007-Rorschach,7,Jinx007-Dark Blizzard,Okapi,None,Antennae,Beetle Wings,Scarab,Dots,Rabbit,
Jinx007-Snowstorm,7,Jinx007-Dark Blizzard,Snowfall,Snowflake,Demon,Bat Wings,Starry,Dots,Slice,Gargoyle
Jinx007-Urchin,7,Jinx007-Tulum,shimashima,Horse,???,Seraph,Static,Octopus,Whirlybird,
Jinx007-Valyrian,7,Jinx007-Usurper,Sunset,Fleur,Bharal,Tutu,Starry,Goggles,Seraph,Aurora
Jinx007-Vici,7,Jinx007-Usurper,Sunset,Fleur,Crown,Tutu,Ore,Countess,Rabbit,
Jinx007-Dobby,8,Jinx007-Clowndelabra,Tropical Fish,???,Spire,None,Waxy,Heart,Flying Nun,
Jinx007-Hotshot,8,Jinx007-Clowndelabra,Tropical Fish,Fleur,Spire,None,Waxy,Heart,None,Candle
Jinx007-Heiress,8,Jinx007-Chip,Circuit,torn,Antennae,Spades,Iridescent,Diamond,Manchu,
Jinx007-Hunter,8,Jinx007-Ghostface,Baguette,???,Bull,Mohawk,Static,Fangs,Triceratops,
Jinx007-Helion,8,Jinx007-Golden Idol,Solid,Garuda,Eyebrows,Bee Wings,Chrome,Star,Rabbit,
Jinx007-Herbelion,8,Jinx007-Gumdrop,Tropical Fish,Dandelion,Narwhal,Dandelion,Furry,Octopus,Cat,Dandelion
Jinx007-Hydrolion,8,Jinx007-Gumdrop,Tropical Fish,Dandelion,Jester,Dandelion,Furry,Octopus,Cat,
Jinx007-Horus,8,Jinx007-Rorschach,Okapi,None,None,Beetle Wings,Geode,Dots,Pharaoh,
Jinx007-Sencha,8,Jinx007-Rorschach,Bubbles,None,Straw,Curls,Bedazzled,Star,Picks,
Jinx007-Sunfire,8,Jinx007-Rorschach,Okapi,Mermaid,Antennae,Moth,Slimy,Dots,Pincers,
Jinx007-Littlefoot,8,Jinx007-Faun,Chromatic,None,Devil,None,Furry,Heart,Llama,
Jinx007-Galaxy Gargoyle,8,Jinx007-Snowstorm,Celestial,Asparagus,Demon,Bat Wings,Starry,Dots,Slice,Celestial
Jinx007-Igor,8,Jinx007-Snowstorm,Celestial,Snowflake,Demon,Bat Wings,Starry,Dots,Slice,Celestial
Jinx007-Wreck-It Ralph,8,Jinx007-Vici,Cracked,Rabbit,Crown,Skirt,Ore,Countess,Rabbit,
Jinx007-Interstellar,9,Jinx007-Galaxy Gargoyle,Celestial,Bow,Demon,Fringe,Starry,Dots,Slice,
Jinx007-Jeronimo,9,Jinx007-Igor,Celestial,Horse,Demon,Bat Wings,Starry,Dots,Slice,Gargoyle
Jinx007-Indy,9,Jinx007-Herbelion,Watermelon,Peacock,Narwhal,None,Furry,Octopus,Tulip Bud,Dandelion
Jinx007-Inkling,9,Jinx007-Herbelion,Bubbles,Dandelion,Narwhal,Dandelion,Furry,Octopus,Cat,Dandelion
Jinx007-Inflammable,9,Jinx007-Herbelion,Bubbles,Accordian,Narwhal,Curls,Furry,Star,Beaks,
Jinx007-Icarus,9,Jinx007-Horus,Beach,Fishbone,Shell,Dragon,Geode,Heart,Pharaoh,
Jinx007-Irukandji,9,Jinx007-Sunfire,Ghost,Accordian,None,Tutu,Slimy,Dots,Eeyore,
Jinx007-Thunderpunch,9,Jinx007-Sunfire,Okapi,Tree Fan,Bull,Moth,Slimy,Fold,Snap Peas,
Jinx007-Thistle,9,Jinx007-Sencha,Bubbles,None,Straw,Thorns,Matte,Star,Picks,Cactus
Jinx007-Tumbleweed,9,Jinx007-Sencha,Bubbles,None,Straw,Dandelion,Bedazzled,Kawaii,Picks,
Jinx007-Xcalibur,9,Jinx007-Wreck-It Ralph,Diamonds,FracturedButfly,Asparagus,Unclassified,Ore,Cloud,Rabbit,
Jinx007-Xenoblade,9,Jinx007-Wreck-It Ralph,Cracked,Rabbit,Ram,Mohawk,Ore,Triangles,Shell,
Jinx007-Jellybunny,10,Jinx007-Irukandji,Ghost,Carnival,Demon,Tutu,Slimy,Dots,Eeyore,
Jinx007-Umbrella,10,Jinx007-Thistle,Plait,Angel,Demon,Thorns,Matte,Cloud,Air Brakes,
Jinx007-Unbananable,10,Jinx007-Thistle,Banana,None,Banana,None,Matte,Star,Square,
Jinx007-Uva,10,Jinx007-Tumbleweed,Bubbles,None,Straw,Talaria,Bedazzled,Kawaii,Picks,
Jinx007-Yondu,10,Jinx007-Xcalibur,Diamonds,FracturedButfly,Jester,Ruff,Ore,Monkey,Llama,
Jinx007-Werecrow,11,Jinx007-Unbananable,Patchwork,Accordion,Pitchfork,Quetzal,Matte,Star,Square,
Jinx007-Vortex,12,Jinx007-Werecrow,Patchwork,Rabbit,Stacked,Tutu,Matte,Goggles,Rabbit,
Jinx007-Wraith,13,Jinx007-Vortex,Patchwork,Rabbit,Stacked,Tutu,Static,Goggles,Rabbit,
